county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate
Adair County,Oklahoma,7978,35946.652248355414,62,22193,279,0.007771371173585219
Ellis County,Oklahoma,772,20005.182689816014,6,3858,155,0.007772019718650296
Grand County,Colorado,3599,22874.030761408412,28,15733,177,0.007779938655739409
Lincoln County,Wyoming,3979,20065.557236510336,31,19829,156,0.007790902040942396
Monongalia County,West Virginia,25092,23758.663788205886,196,105611,185,0.007811254552003608
Union County,North Carolina,62697,26139.106725201054,490,239858,204,0.00781536595400838
Nevada County,California,16234,16273.87098391058,127,99754,127,0.007823087299352672
James City County,Virginia,15461,20204.382995961998,121,76522,158,0.007826143148398272
Washington County,Florida,6642,26074.66729478271,52,25472,204,0.007828967060690048
Oldham County,Kentucky,18515,27717.48080061079,145,66798,217,0.007831487940418644
Murray County,Minnesota,2043,24932.877715401515,16,8193,195,0.007831619783082732
Skamania County,Washington,1531,12670.694363982453,12,12082,99,0.007838013857739135
Jackson County,Minnesota,2167,22008.93763965062,17,9845,172,0.007844946569222584
Tippecanoe County,Indiana,49917,25502.728220219484,392,195731,200,0.007853036024093924
Pinellas County,Florida,212746,21820.192082839316,1671,974995,171,0.007854436742474859
Sangamon County,Illinois,56637,29093.552231445712,445,194671,228,0.007857054561758118
Atchison County,Kansas,4323,26896.036831954207,34,16072,211,0.007864908446335682
Chelan County,Washington,20462,26505.181347150257,161,77199,208,0.007868243535000275
Boone County,Kentucky,37686,28212.096031621266,297,133580,222,0.007880910662100222
Santa Barbara County,California,87795,19662.977968595675,692,446498,154,0.007881997826889916
Eddy County,North Dakota,761,33275.032794053346,6,2286,262,0.007884361644630532
Cheyenne County,Nebraska,2025,22727.272727272728,16,8909,179,0.007901234177716831
Anoka County,Minnesota,100743,28225.573726398838,797,356920,223,0.007911219630236126
Granville County,North Carolina,14536,24049.104114620386,115,60442,190,0.007911392350637092
Adams County,Washington,4926,24650.953310313766,39,19982,195,0.007917174017109743
Denton County,Texas,170986,19272.39077239021,1354,887206,152,0.00791877697126152
Montgomery County,Virginia,19403,19691.480184705943,154,98534,156,0.007936916930696711
Bryan County,Oklahoma,13598,28332.117928950935,108,47994,225,0.007942344404012765
Nicollet County,Minnesota,8305,24231.19565851666,66,34273,192,0.007947019771860088
Calhoun County,West Virginia,1887,26543.817695878464,15,7108,211,0.007949125174927124
Lafayette Parish,Louisiana,62873,25726.5027210606,500,244389,204,0.007952539233132602
Grant County,Minnesota,1506,25217.68251841929,12,5971,200,0.007968126960947746
DuPage County,Illinois,224631,24339.13628577094,1799,922920,194,0.008008689803273506
Pembina County,North Dakota,1996,29348.62520217615,16,6800,235,0.008016031662523465
Columbia County,Florida,21193,29563.652596043856,170,71685,237,0.008021516500629846
Hamilton County,Indiana,81765,24190.04115250687,656,338010,194,0.0080229927132355
Ozaukee County,Wisconsin,23174,25973.705741921745,186,89220,208,0.00802623626466628
Johnson County,Kansas,148890,24716.09442879411,1199,602400,199,0.008052924972763165
Chisago County,Minnesota,14845,26237.65001148836,120,56578,212,0.008083529753563289
Columbia County,Wisconsin,15821,27499.47855106723,128,57531,222,0.00809051255868458
Geary County,Kansas,9262,29245.342595516264,75,31669,236,0.00809760302205136
Freeborn County,Minnesota,9250,30547.2078200852,75,30280,247,0.008108108020452887
