county,state,# total covid cases,# covid cases per 100k,# covid deaths,population,# covid deaths per 100k,case_fatality_rate,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,voter_turnout,voter_gap,trump,biden
Hamilton County,Kansas,464,18274.91138243403,3,2538,118,0.006465515847949171,33.7,36.2,47.31018695154521,2.0,47709,22.5,13.1,23.6,37.1,5.9,269.1,44.93421052631579,65.69999999999999,81.69999999999999,16.0
Pasco County,Florida,123993,22383.549328726396,802,553946,144,0.0064681070653439246,14.0,23.59999999999999,51.32895434178618,5.8,45219,12.5,21.1,24.5,31.1,622.2,275.3,20.26878836483555,20.1,59.5,39.4
Collier County,Florida,85078,22103.808242097988,551,384901,143,0.006476409875083558,27.2,36.39999999999999,50.77892447319592,5.2,58403,14.3,32.3,18.5,19.5,160.9,232.7,16.08551475666746,24.800000000000004,62.1,37.3
Williams County,North Dakota,10496,27923.062598100507,68,37588,180,0.006478658474860343,6.1,17.40000000000002,45.26977761574918,2.2,86354,9.6,19.1,25.6,35.3,3.3,375.4,39.43697799635392,66.9,82.0,15.1
Franklin County,Florida,3087,25459.79381443299,20,12124,164,0.006478781779112997,5.2,21.8,42.38115631691649,4.6,36788,21.6,16.0,27.7,32.2,21.6,279.4,28.26655507898316,37.3,68.2,30.9
Washington County,Rhode Island,34243,27268.52847257061,222,125576,176,0.006483076814288828,3.0,8.7,51.53815674776131,5.5,70705,7.3,43.8,17.0,23.9,1530.3,199.9,,,,
Franklin County,Vermont,10325,20899.96356422817,67,49401,135,0.006489104053374295,1.4,5.800000000000003,50.32161586365126,3.7,59184,11.0,23.2,22.7,27.5,9.5,282.5,97.97268229726824,11.800000000000004,54.0,42.2
Williamson County,Tennessee,62187,26083.838061842525,404,238411,169,0.006496534635057915,4.7,14.699999999999994,51.06923515631997,4.1,97936,5.2,54.1,20.2,25.9,68.6,283.0,5.056993685591668,26.1,62.2,36.1
Keith County,Nebraska,1539,19156.08663181479,10,8033,124,0.006497725373767032,6.8,9.500000000000002,49.304957559355394,2.6,45192,7.7,22.0,27.5,27.5,12.6,187.8,31.940112289457268,63.7,81.2,17.5
Washington County,Oregon,85081,14142.641524488357,553,601591,91,0.006499688524465287,16.4,32.90000000000001,50.63881930739367,4.8,66315,9.4,39.7,12.4,24.0,10.6,262.3,17.23760525556402,-34.5,31.0,65.5
Brown County,Wisconsin,85688,32391.075897211027,557,264541,210,0.006500326759289134,8.3,18.4,50.38061425404258,4.1,54141,9.4,27.5,20.0,28.4,468.2,162.9,22.88072058177768,7.200000000000003,52.7,45.5
Texas County,Oklahoma,5992,29985.487664514836,39,19982,195,0.006508678129027401,45.1,54.39999999999999,46.54584520528749,3.1,49780,29.8,19.5,27.5,32.7,51.8,263.0,51.485061511423545,65.39999999999999,81.6,16.2
Hamilton County,Florida,3841,26621.846409758804,25,14427,173,0.0065087215176068336,9.2,45.1,42.2109846888608,5.1,31734,23.8,10.8,31.5,33.2,28.8,235.6,47.48110831234257,31.7,65.3,33.6
Antelope County,Nebraska,1075,17068.910765322325,7,6297,111,0.006511627301243972,3.2,4.7000000000000055,49.84389634717452,2.5,50919,8.9,18.3,25.9,27.6,55.7,205.0,26.13894042465471,73.7,86.3,12.6
Crawford County,Wisconsin,4299,26650.548633066763,28,16130,173,0.00651314243979664,1.3,5.099999999999987,48.08434990498375,5.9,43562,10.0,15.3,21.4,33.1,29.2,260.7,32.24499337645133,7.600000000000001,53.1,45.5
Clay County,Florida,53825,24549.376972615984,352,219251,160,0.0065397120175760114,9.3,25.79999999999999,50.75089403859492,4.9,58539,10.0,23.6,23.8,29.7,315.8,186.6,16.721017882440993,37.10000000000001,67.80000000000001,30.7
McHenry County,Illinois,79189,25729.593792847998,518,307773,168,0.006541312547776443,12.5,18.09999999999999,50.16832065653172,5.3,76856,7.8,32.2,20.9,27.7,55.3,197.1,25.98180991359709,2.700000000000003,50.1,47.4
Lincoln County,South Dakota,15590,25503.860751210574,102,61127,166,0.006542655506461479,1.9,6.40000000000002,50.608689107569575,2.3,79857,4.1,41.0,19.0,28.7,30.1,219.7,13.191671802567056,23.6,60.6,37.0
Sherburne County,Minnesota,27636,28420.987679713693,181,97237,186,0.006549428258252177,2.5,8.100000000000003,48.93614709206295,4.0,76512,6.4,26.2,18.2,28.8,364.5,110.7,15.7707779886148,32.7,65.3,32.6
Franklin County,Washington,32668,34307.19791644788,214,95221,224,0.006550753010436044,52.5,58.9,47.95677931870203,7.5,55006,28.1,15.4,17.3,30.1,62.9,104.2,29.877081681205397,14.800000000000011,56.10000000000001,41.3
Piatt County,Illinois,4575,27991.923641703375,30,16343,183,0.0065573769058496845,1.3,7.299999999999991,50.57506237449035,5.1,65971,6.5,26.6,22.0,29.0,50.6,241.2,22.355273592387,29.8,63.5,33.7
Williamson County,Texas,133907,22674.925620310525,879,590550,148,0.00656425727813762,24.1,39.10000000000001,50.796851546193,3.5,73098,7.7,38.6,16.5,31.1,37.5,153.5,16.10600475901647,-1.3000000000000045,48.2,49.5
Douglas County,Wisconsin,11993,27793.742757821554,79,43149,183,0.006587175797655501,1.5,8.099999999999987,50.04022711077397,5.1,46475,6.8,21.9,23.0,32.2,33.9,237.8,28.09522421981993,-9.300000000000004,44.3,53.6
Contra Costa County,California,195983,16989.907466324992,1296,1153525,112,0.006612818455369691,25.3,55.1,51.1715099877367,5.0,80338,11.1,39.4,18.1,25.0,1465.2,163.4,23.656074434661967,-45.6,26.200000000000003,71.8
La Plata County,Colorado,13002,23126.589708471925,86,56220,152,0.006614366969586472,12.6,21.0,49.65209568745525,3.5,60658,5.7,43.4,11.6,16.3,30.3,132.3,17.33414004142136,-17.599999999999994,40.0,57.6
Chambers County,Texas,10389,23699.15824531788,69,43836,157,0.006641640132431995,21.4,32.00000000000001,49.90453885904845,5.3,77281,16.0,18.8,26.3,28.6,9.0,184.7,15.803602692292728,61.60000000000001,80.10000000000001,18.5
McLean County,Illinois,52348,30520.589795763684,348,171516,202,0.006647818433086616,4.7,20.200000000000006,51.32106839999769,4.9,60460,5.3,43.4,21.4,29.3,511.9,161.0,32.06408444656116,-3.799999999999997,46.400000000000006,50.2
Sibley County,Minnesota,3596,24191.05280861083,24,14864,161,0.006674082128084479,8.6,10.90000000000001,49.422353573347664,4.1,59893,11.0,15.8,26.6,33.3,204.4,131.3,21.937927212266764,40.8,69.39999999999999,28.6
Hawaii County,Hawaii,28425,14105.789700912595,190,201512,94,0.006684256792667522,12.5,69.7,50.24729402776009,4.5,51887,9.0,25.9,19.4,22.7,45.9,185.0,38.75436391565424,-36.30000000000001,30.6,66.9
Schuyler County,New York,3724,20913.124052338968,25,17806,140,0.00671321142016081,1.8,4.700000000000016,49.889575971731446,6.6,48135,11.3,18.0,22.8,30.8,52.7,226.0,42.74406332453825,28.1,62.8,34.7
Saratoga County,New York,49890,21704.2325211104,335,229862,145,0.006714772486039743,3.0,9.099999999999994,50.58464824031911,4.2,71885,6.2,38.0,24.7,26.7,41.8,209.8,38.25479088827287,5.199999999999996,51.4,46.2
Chase County,Nebraska,744,18960.244648318043,5,3923,127,0.006720429204243387,10.5,11.099999999999994,50.2498027872732,1.9,52749,10.1,19.0,23.0,30.6,12.0,210.3,25.855654761904763,76.0,87.3,11.3
King County,Washington,409986,18199.0978265984,2759,2252781,122,0.006729498078780862,9.5,38.6,50.01720866485783,4.4,75738,7.9,47.1,13.5,22.2,912.9,148.3,17.977093981261703,-53.2,22.3,75.5
Oswego County,New York,28826,24611.522830504422,194,117123,165,0.006730035361375024,2.5,5.7,49.9069538440997,7.2,46926,13.8,17.7,25.8,29.2,109.6,217.9,52.19206456528972,32.00000000000001,64.9,32.9
Brevard County,Florida,135740,22550.345382113224,914,601941,151,0.006733461023476159,9.7,24.7,51.13088564775785,5.9,47973,9.5,26.7,24.7,25.6,535.0,288.8,18.97385666433772,16.4,57.6,41.2
Cook County,Minnesota,594,10873.146622734761,4,5462,73,0.006734005600335758,2.1,13.900000000000013,50.49335863377608,4.4,48593,4.8,40.6,17.4,28.9,8.7,263.7,11.108501643964305,-34.10000000000001,31.8,65.9
Irion County,Texas,445,28971.354166666664,3,1535,195,0.006741571518747973,22.9,27.6,46.41959798994975,3.7,63054,13.6,13.1,23.6,27.9,25.0,204.1,26.89144736842105,71.89999999999999,85.39999999999999,13.5
Schoharie County,New York,5336,17213.458498661246,36,30998,116,0.006746626560220641,3.0,6.5,50.33374458258201,5.8,48718,11.9,19.1,25.7,26.2,756.6,222.8,47.73943964675081,37.400000000000006,67.4,30.0
New Kent County,Virginia,4742,20536.139621497554,32,23090,138,0.006748207365073653,2.9,20.5,49.76855235589338,3.8,72406,11.0,24.6,21.2,28.2,87.9,205.7,10.369265199552409,34.8,66.8,32.0
Pondera County,Montana,1183,20013.534088986635,8,5910,135,0.006762467729292669,1.9,18.5,50.600230225291895,4.5,39292,11.7,21.9,26.9,29.4,0.8,244.7,33.39265850945495,37.60000000000001,67.80000000000001,30.2
Sullivan County,New York,19217,25475.92533672712,130,75431,172,0.006764843592835283,15.4,27.5,48.61512476412916,5.5,48908,15.2,21.1,22.4,29.3,1637.4,189.3,52.25846481120369,17.0,57.8,40.8
Brazos County,Texas,60873,26557.625942908497,413,229210,180,0.006784617142600797,25.1,43.3,49.36400427575841,3.4,41641,14.7,38.3,18.9,28.4,230.7,146.2,43.718249251263394,14.400000000000006,56.00000000000001,41.6
Ouray County,Colorado,884,17851.373182552503,6,4951,121,0.0067873295489446215,5.7,7.500000000000008,52.76165914463788,4.3,57242,1.9,50.0,13.9,18.6,8.2,146.9,-1.3824884792626728,-19.999999999999996,39.1,59.1
Strafford County,New Hampshire,30924,23672.42580358715,210,130632,160,0.006790842042456209,2.2,8.599999999999996,51.057272899677606,3.1,58577,8.2,33.2,21.3,29.1,425.0,193.5,97.15587856149575,2.700000000000003,50.2,47.5
Dakota County,Minnesota,113641,26488.446952480183,775,429020,180,0.006819721749351271,6.8,20.300000000000004,50.79861571668013,3.3,76269,5.2,39.5,16.2,26.6,62.6,252.1,11.949700380720502,-13.900000000000006,41.8,55.7
Sherman County,Nebraska,586,19526.824391869377,4,3000,133,0.006825937401717167,2.0,2.900000000000009,50.19685039370079,2.9,43883,10.7,14.5,27.0,33.1,2.2,265.3,28.894472361809044,57.7,77.9,20.200000000000003
Taylor County,Florida,7015,32523.529139042144,48,21568,222,0.006842480301603987,4.1,28.200000000000006,43.86129753914989,6.6,36374,25.5,10.0,35.2,38.9,21.6,249.6,43.064461694228825,53.8,76.5,22.7
San Diego County,California,770324,23075.13037956104,5271,3338329,157,0.006842575331049977,33.4,53.8,49.71633829882159,5.2,66034,14.2,35.1,15.6,19.1,735.8,155.1,28.3286049685654,-22.7,37.5,60.2
Polk County,Florida,202456,27933.557494236156,1387,724776,191,0.0068508712970468295,20.6,39.00000000000001,50.9740040720208,6.2,42768,16.9,18.6,27.2,32.3,334.9,226.9,26.905513233247277,14.4,56.6,42.2
Park County,Colorado,2913,15457.681082515255,20,18844,106,0.006865773880337319,5.9,10.300000000000004,47.1301775147929,3.4,58487,4.2,31.6,15.6,20.5,7.4,145.7,12.723052371971566,17.19999999999999,56.99999999999999,39.8
Lincoln County,Nebraska,8708,24941.28429856218,60,34913,171,0.006890215814306204,8.2,11.6,50.827968174534,2.9,49770,8.5,19.9,23.8,31.7,340.8,145.2,36.04620733485364,54.8,76.4,21.6
Alameda County,California,268987,16094.1980902623,1854,1671328,110,0.0068925264020593836,22.5,67.8,50.93018903237881,4.7,76996,13.3,42.1,15.8,20.0,2043.6,145.3,28.972953728567692,-62.80000000000001,17.599999999999998,80.4
Merrimack County,New Hampshire,33364,22038.298181529943,230,151390,151,0.006893657814130027,2.0,6.900000000000009,50.75359223563444,3.1,62429,7.6,33.7,18.2,29.5,457.4,173.8,85.55235400496673,-6.400000000000006,45.9,52.3
Billings County,North Dakota,145,15625.0,1,927,107,0.006896546967898642,4.1,5.599999999999988,42.42115971515768,3.0,75096,9.3,19.5,25.6,28.3,4.8,184.8,16.8848167539267,73.9,85.2,11.3
Sullivan County,New Hampshire,9709,22502.66536874797,67,43145,155,0.006900813606954233,1.4,4.6000000000000005,50.63496854177792,2.9,57142,9.8,27.4,22.4,28.8,333.7,185.2,98.8012104283054,-7.300000000000004,45.1,52.400000000000006
Craig County,Oklahoma,4782,33814.170555791265,33,14141,233,0.006900878149291548,3.4,35.79999999999999,49.07642656046144,4.6,36953,16.5,13.9,32.7,27.4,9.8,259.4,46.13323807822825,57.5,77.7,20.200000000000003
Uinta County,Wyoming,5643,27899.73301690893,39,20225,192,0.006911217315059059,9.1,12.3,48.96907216494845,4.9,56800,10.8,18.7,21.5,27.9,10.1,117.9,33.951527924130666,62.8,79.7,16.900000000000002
Burke County,North Dakota,433,20472.813238770686,3,2114,141,0.0069284048664192,1.6,6.599999999999994,46.82645361739903,3.2,62875,12.4,18.5,30.5,28.9,2.7,350.7,29.858982219497243,74.1,86.0,11.9
York County,Maine,41973,20214.215882219793,291,207640,140,0.006933028358866347,1.6,5.400000000000001,51.246934784119446,3.9,55482,8.0,29.1,19.0,27.6,12.8,332.7,93.95706500315974,-28.6,34.7,63.3
Santa Clara County,California,328630,17046.433024941747,2282,1927851,118,0.006943979549358251,26.1,67.4,49.596907953324205,4.2,97219,13.2,47.3,15.2,19.5,1381.0,130.1,30.422049897635063,-47.5,25.2,72.7
Washington County,Minnesota,69180,26360.310928212162,481,262439,183,0.006952876543866902,3.9,16.299999999999997,50.51099892819718,3.2,84113,4.0,41.3,15.6,26.1,45.2,209.4,8.911764383621682,-9.200000000000005,44.4,53.6
Matanuska-Susitna Borough,Alaska,34494,31845.416693593805,240,108316,221,0.0069577317592690565,4.6,20.099999999999994,47.82518415978642,7.8,73981,7.5,20.9,20.1,30.2,3.6,136.3,,,,
Cumberland County,Maine,52557,17815.75102626075,366,295002,124,0.006963867787423431,2.0,9.299999999999992,51.40970975851826,3.4,61436,6.2,42.0,15.2,22.7,10.8,282.0,97.35383720058724,-37.900000000000006,30.0,67.9
Lafayette County,Wisconsin,3731,22388.238823882388,26,16664,156,0.006968640928205818,3.6,5.400000000000003,49.35840047746941,3.7,52260,10.1,17.3,20.9,35.3,26.6,218.3,30.689459612735963,13.79999999999999,56.39999999999999,42.6
Arlington County,Virginia,46198,19505.830891480397,322,236841,135,0.006969998686155248,15.5,37.7,50.15858217083308,2.8,107143,6.6,72.0,13.4,16.1,44.9,252.7,20.52265599587571,-64.1,17.2,81.3
Yukon-Koyukuk Census Area,Alaska,1434,27418.738049713193,10,5229,191,0.006973500211052984,2.1,78.7,46.15807812213461,18.0,36708,18.5,10.1,25.8,28.3,0.1,223.7,,,,
Waseca County,Minnesota,5587,30018.26778422523,39,18611,209,0.006980490299257377,5.7,10.59999999999999,52.49232723039475,4.2,54183,8.1,19.9,19.5,33.7,25.8,294.0,26.125293322904074,30.1,63.8,33.7
Collin County,Texas,215831,20858.678109265216,1507,1034729,145,0.006982314863489343,15.1,40.900000000000006,50.88860323277631,3.6,86634,6.6,49.4,19.4,24.6,7.0,325.8,16.681439552090676,4.599999999999994,51.4,46.8
Bennington County,Vermont,10153,28624.189455878204,71,35469,200,0.006993006924130731,1.8,5.299999999999983,50.937482664891554,4.3,44674,9.4,32.0,20.4,24.1,48.0,198.6,75.23643343221079,-26.700000000000003,34.9,61.6
Lassen County,California,8988,29398.48886272201,63,30572,206,0.007009345716406924,18.5,33.900000000000006,33.949793454083256,7.3,49995,20.6,12.9,17.5,23.9,7.7,147.2,53.11094303570718,51.2,74.7,23.5
Woodford County,Kentucky,6978,26101.593476471906,49,26733,183,0.007022069260216835,6.6,13.499999999999991,52.1400627493512,3.6,57067,11.7,32.4,28.7,29.5,33.1,294.3,19.971589414426266,12.100000000000009,55.00000000000001,42.9
Menard County,Illinois,3560,29189.898327320432,25,12195,205,0.007022471712851918,1.4,4.199999999999998,51.03092783505154,4.8,61388,7.6,21.2,22.3,28.3,65.0,254.4,28.321714701904067,39.400000000000006,68.5,29.1
Rolette County,North Dakota,6121,43178.61173814898,43,14175,303,0.007024995800931288,0.5,81.2,50.53558026881354,10.1,35630,18.5,20.0,29.6,41.4,11.4,192.6,60.79967023907666,-32.2,33.0,65.2
Menominee County,Wisconsin,1987,43612.81826163301,14,4555,307,0.007045797330357457,6.0,91.2,49.8890368397692,9.9,36774,8.9,16.5,29.4,42.5,11.8,179.0,47.61120263591433,-64.39999999999999,17.5,81.89999999999999
Yuba County,California,16029,20375.502110133726,113,78667,143,0.0070497223342084825,27.4,43.7,48.98317346337281,9.2,41403,20.4,14.2,15.7,24.8,114.2,163.1,44.76981528636676,21.5,59.3,37.8
Manassas Park city,Virginia,3828,21901.81943014075,27,17477,154,0.007053291351794897,37.8,64.00000000000001,47.37233976546504,4.2,73065,18.9,26.3,21.1,28.3,5633.1,69.8,30.63299817184644,-30.5,34.0,64.5
Jefferson County,Florida,3964,27825.354485469605,28,14245,196,0.00706357197115106,4.0,41.80000000000001,46.36847710330139,5.8,40205,19.9,17.8,26.6,32.2,24.7,236.1,26.19877942458588,6.900000000000006,52.900000000000006,46.0
Adams County,Nebraska,6499,20721.86971909575,46,31362,146,0.007078011892937192,9.4,13.099999999999993,49.36953491319224,3.1,48658,9.1,22.3,24.8,33.0,56.2,194.1,36.92713057751285,40.2,69.1,28.9
Hall County,Nebraska,16513,26914.739295551968,117,61352,190,0.00708532666937972,26.8,32.0,49.63010141590319,3.9,48499,17.0,17.7,25.7,33.9,4.5,262.2,37.545801624516365,34.900000000000006,66.4,31.5
Lincoln County,North Carolina,24543,28501.585163335694,174,86110,202,0.007089597819787321,7.0,14.700000000000005,50.47823710623075,5.4,49676,17.1,19.9,25.5,27.6,148.5,258.0,18.050304126253494,46.19999999999999,72.6,26.4
Fillmore County,Nebraska,1127,20633.467594287806,8,5461,146,0.007098490940684034,3.9,6.000000000000005,50.02677137247903,2.9,54556,7.1,19.7,25.7,33.4,2.2,325.1,29.57303370786517,53.2,75.3,22.1
Pierce County,Washington,198369,21919.710932838298,1409,904979,155,0.007102924344477754,10.4,32.0,50.28709419032103,6.3,60397,9.5,24.2,18.7,30.0,476.3,171.7,24.982026670946414,-11.300000000000004,42.9,54.2
Manatee County,Florida,96960,24044.458441722687,689,403252,170,0.007106023094981411,15.9,28.1,51.65317899995049,5.0,51673,12.3,27.5,22.6,25.3,434.5,248.8,19.6384305559158,15.999999999999991,57.6,41.6
Okaloosa County,Florida,51630,24499.61563647752,367,210737,174,0.007108270371667112,8.7,25.5,49.26945053165377,4.5,55952,9.0,28.1,23.3,26.4,194.4,199.1,21.22061226418916,39.10000000000001,68.4,29.3
Baker County,Florida,8712,29825.40225950017,62,29209,212,0.007116620671296825,2.4,18.099999999999987,47.62682935686531,5.4,47121,19.6,10.9,35.7,35.8,46.3,203.4,31.882165142940067,70.1,84.6,14.499999999999998
Stearns County,Minnesota,51693,32092.50349216204,368,161074,228,0.007118952262165182,3.2,12.200000000000005,49.693496458467486,3.6,55832,8.5,25.5,19.9,27.6,25.9,230.3,26.302271520238207,22.499999999999996,60.2,37.7
Le Flore County,Oklahoma,12490,25053.65775379616,89,49852,178,0.007125700503397114,6.8,28.09999999999999,49.80344965904533,6.7,36627,19.4,12.9,33.4,39.1,15.4,249.3,48.57666329404687,63.400000000000006,80.9,17.5
Currituck County,North Carolina,5051,18193.278824334546,36,27762,129,0.007127301383343864,3.6,12.5,50.40202796371847,5.9,58024,15.3,19.2,23.2,28.9,489.7,157.1,17.601029601029598,46.39999999999999,72.3,25.9
Island County,Washington,10635,12491.044267744095,76,85140,89,0.007146215259556039,7.1,19.9,50.17616373890418,6.0,59358,5.1,31.7,18.7,27.4,376.6,208.2,16.222443150436334,-12.200000000000005,42.4,54.6
Cheshire County,New Hampshire,15654,20574.357626338962,112,76084,147,0.007154720792419057,1.7,5.499999999999994,51.1240457764522,3.2,56008,8.3,30.8,20.0,27.4,51.4,271.8,,,,
Knox County,Nebraska,1677,20127.22035525684,12,8331,144,0.007155634635919223,2.6,13.799999999999994,51.18879472693032,3.2,42745,10.2,18.9,27.7,31.6,4.0,322.5,26.968565203859324,60.0,79.2,19.2
Volusia County,Florida,118119,21348.710607933717,846,553283,152,0.007162268553609268,12.9,27.1,51.2877414876798,5.7,40881,11.9,21.3,24.9,26.0,449.2,286.4,25.03025418384317,13.999999999999991,56.39999999999999,42.4
Cumberland County,North Carolina,87898,26198.40302346584,630,335508,187,0.00716739856746752,11.2,55.4,50.17910483643161,7.4,42582,10.6,22.9,24.9,32.3,146.0,224.1,39.575885569281255,-16.599999999999994,40.9,57.49999999999999
San Benito County,California,13105,20865.176410648324,94,62807,149,0.007172834741145863,58.9,64.39999999999999,50.21731349388966,7.6,68166,22.1,19.0,17.2,23.3,39.8,131.1,22.137593488781345,-24.300000000000004,36.8,61.1
Onslow County,North Carolina,52306,26425.446351887967,376,197937,189,0.007188467848452438,12.2,33.2,44.34180138568129,6.0,47201,9.7,18.4,21.4,29.7,41.2,282.0,50.89742781711101,30.700000000000003,64.2,33.5
Snohomish County,Washington,159247,19371.158386683583,1146,822082,139,0.0071963679019407785,9.8,28.799999999999997,49.85412693806484,4.8,71890,8.7,29.3,17.6,29.4,341.8,153.6,20.5552482481949,-20.8,38.2,59.0
Winnebago County,Wisconsin,53045,30856.800479328936,382,171906,222,0.007201432732205802,3.9,10.7,49.63784357673705,4.3,52711,8.1,26.1,19.2,31.9,384.3,195.0,28.51394646137961,3.999999999999993,50.8,46.8
Latah County,Idaho,6801,16956.716864465943,49,40107,122,0.007204822714235807,4.2,10.599999999999994,48.7996485515673,3.5,43482,4.2,44.0,15.5,24.3,111.3,210.1,31.69002363436637,-3.6000000000000014,46.1,49.7
Tioga County,New York,11719,24311.764827915275,85,48202,176,0.0072531785369640885,1.8,4.700000000000011,50.65082518957058,5.6,52195,9.7,23.8,23.3,29.3,80.1,225.7,46.43369035519767,32.0,64.7,32.7
Clay County,Nebraska,1515,24423.66596807996,11,6202,177,0.007260725593351446,8.9,10.799999999999995,48.75478927203065,2.9,55758,12.3,17.5,24.3,32.9,8.4,177.4,22.39912758996729,62.2,80.0,17.8
Cedar County,Nebraska,1506,17924.303737205428,11,8401,130,0.0073041163808687665,1.7,2.999999999999999,49.19985982945917,2.4,54421,6.9,16.5,27.1,28.3,45.3,233.5,21.9375,69.0,83.5,14.499999999999998
Elliott County,Kentucky,2594,34508.44751895703,19,7516,252,0.007324594937371051,0.3,3.900000000000004,42.89127837514934,10.0,30556,26.4,6.4,34.0,33.7,40.2,263.5,51.03008502289078,51.2,75.0,23.8
Outagamie County,Wisconsin,55321,29444.074833009556,406,187884,216,0.007338985182229199,4.2,11.9,50.12330321679542,4.0,59377,6.9,26.9,18.7,30.1,277.2,156.4,20.566218104272373,9.9,54.0,44.1
Gadsden County,Florida,13475,29511.60753394656,99,45659,216,0.007346938720987468,10.0,67.4,52.57519571487433,7.0,35849,23.0,16.3,31.5,36.5,89.8,220.0,30.610221872357798,-36.50000000000001,31.4,67.9
Stark County,North Dakota,11683,37101.845088761154,86,31488,273,0.007361122936222521,5.1,11.400000000000016,48.14949201741655,2.6,76672,10.1,24.3,23.8,29.6,0.6,,31.885041864675262,63.9,80.5,16.6
Shelby County,Alabama,61273,28145.35465912118,452,217701,207,0.007376821752849017,5.8,21.50000000000001,51.40881847058992,4.2,69432,8.7,40.2,22.4,30.1,248.5,142.9,24.681453205212584,40.49999999999999,69.39999999999999,28.9
Polk County,Nebraska,1219,23383.848072127374,9,5212,172,0.007383100296710394,4.8,7.099999999999993,50.83905415713196,2.5,58162,6.9,19.5,24.9,29.5,47.8,184.8,27.19431760527651,61.3,79.7,18.4
Hays County,Texas,58471,25401.079972718308,432,230190,187,0.00738827793711707,37.8,44.7,50.230185328700536,3.4,59569,10.9,36.8,17.5,23.8,6.5,311.2,21.72486962776479,-10.800000000000004,43.6,54.400000000000006
Hendry County,Florida,11773,28016.277188139546,87,42021,207,0.007389790135141509,51.9,66.5,46.96907638746672,10.3,38494,34.3,10.6,30.0,35.2,34.0,153.1,40.41398344066237,22.9,61.0,38.1
Duchesne County,Utah,1217,6103.922158691945,9,19937,45,0.007395233574754842,8.1,14.599999999999993,49.05967718051236,7.3,61976,13.5,15.4,24.7,27.6,1025.8,86.6,34.51753025131865,78.4,88.2,9.8
Monroe County,Wisconsin,12305,26603.67976131278,91,46252,196,0.007395367676591893,4.2,8.799999999999994,49.46692272034964,4.5,52978,11.8,17.5,24.3,33.0,49.6,210.1,32.17098539048879,23.6,61.0,37.4
Canadian County,Oklahoma,39776,26820.223052337733,295,148305,198,0.007416532563816039,8.3,22.700000000000006,50.2956621176329,3.5,68421,8.5,25.4,28.2,35.0,23.2,242.5,34.95542230669873,43.3,70.3,27.0
Jackson County,Kansas,3908,29671.2474375522,29,13170,220,0.007420675347475042,4.4,15.700000000000015,50.1501276084672,3.7,53796,5.9,18.1,28.0,33.4,2.2,235.5,34.63365336028297,40.000000000000014,68.60000000000001,28.6
Boyd County,Nebraska,404,21052.63157894737,3,1918,156,0.007425740736202789,0.7,5.000000000000002,49.341142020497806,2.6,39964,7.8,18.6,30.1,34.2,10.5,192.5,26.231605886116444,75.89999999999999,87.6,11.7
Holt County,Nebraska,2147,21327.108373894906,16,10066,158,0.007452258618898061,4.3,5.999999999999999,49.89798892451181,2.4,46667,8.3,20.1,26.2,30.2,4.1,320.9,28.70585202371745,73.9,86.2,12.3
Worth County,Missouri,401,19920.51664182812,3,2012,149,0.007481294892445164,1.2,3.300000000000001,51.33950316609839,3.2,38802,10.8,16.4,27.7,30.2,61.1,178.1,32.127529123237274,59.8,79.2,19.4
Clear Creek County,Colorado,1601,16505.154639175256,12,9699,123,0.007495314959693007,6.1,10.100000000000003,48.6658744733715,3.7,69115,4.0,40.8,16.5,18.1,23.0,162.3,16.389738136381762,-14.000000000000009,41.6,55.60000000000001
Johnston County,North Carolina,60301,28805.430426246425,452,209338,215,0.007495729743294921,13.3,31.300000000000008,50.93715782467741,5.2,50055,16.1,20.0,26.1,35.5,82.1,197.0,13.385133914191211,24.5,61.6,37.1
Jackson County,Wisconsin,5736,27786.658915855252,43,20642,208,0.007496513118958976,3.2,13.6,46.65627587550533,4.9,47985,13.6,13.9,23.4,32.6,20.7,221.6,35.771947527749745,15.099999999999994,56.89999999999999,41.8
Treasure County,Montana,133,19109.19540229885,1,695,143,0.007518791339254632,2.4,5.399999999999995,52.27848101265823,5.0,47089,10.8,19.2,31.4,25.6,2.8,211.6,27.444794952681388,64.10000000000001,81.10000000000001,17.0
Alger County,Michigan,1729,18983.311374615725,13,9107,142,0.007518796557617319,1.4,15.799999999999995,45.01837043440674,8.2,45308,10.8,17.1,22.5,29.8,16.2,391.8,33.98894459442088,18.7,58.7,40.0
Hamilton County,Nebraska,2254,24174.17417417417,17,9323,182,0.007542146959088422,3.2,4.800000000000001,50.092906328560495,2.9,62191,5.6,24.8,19.4,32.5,107.3,184.2,20.046349942062573,57.6,77.8,20.200000000000003
Missoula County,Montana,27678,23142.140468227426,209,119599,174,0.007551123608818832,3.1,10.200000000000006,49.58461363377717,3.9,44716,5.0,40.2,15.4,22.2,3.5,291.5,20.686577033281907,-23.599999999999994,36.6,60.2
Ada County,Idaho,135259,28086.098669606945,1022,481586,212,0.0075558742800435645,7.9,14.8,49.89876286148324,3.6,57908,6.2,36.4,15.7,25.4,133.3,158.6,17.963939289475597,3.899999999999999,50.4,46.5
Trempealeau County,Wisconsin,8555,28854.261526527036,65,29648,219,0.0075978958784582605,7.6,9.599999999999996,49.50186377499153,4.0,50266,12.6,18.1,19.8,29.6,39.3,204.1,28.43361140886424,16.599999999999994,57.49999999999999,40.9
